# k    mu    diag_Cov_Pwnw
0.0577700 0.9457000 97522.3790000
0.0578600 0.3934000 33969.6510000
0.0578600 0.8656000 75436.8820000
0.0579500 0.7071000 52225.3850000
0.0579500 0.7857000 63979.8870000
0.0579700 0.9948000 123905.0600000
0.0580100 0.3139000 11185.1050000
0.0580200 0.2355000 10386.3690000
0.0583100 0.6247000 17262.8100000
0.0583100 0.9370000 174051.8200000
0.0583700 0.5461000 21535.2080000
0.0585500 0.1556000 13825.0610000
0.0585900 0.4663000 25881.2080000
0.0586600 0.7762000 39502.5640000
0.0586600 0.8538000 100508.7400000
0.0586700 0.0776200 8767.6404000
0.0589000 0.6958000 29295.9170000
0.0591900 0.6154000 37235.7170000
0.0591900 1.0000000 556481.7700000
0.0592600 0.9220000 47933.0770000
0.0594800 0.5358000 50993.8920000
0.0595000 0.3826000 9099.0026000
0.0595000 0.8418000 69991.7440000
0.0595400 0.3059000 25631.0870000
0.0595400 0.6882000 100164.7500000
0.0597700 0.2285000 26281.0970000
0.0598000 0.4568000 33558.8490000
0.0598300 0.7610000 50232.5480000
0.0598900 0.6082000 71323.3580000
0.0598900 0.8363000 107161.9700000
0.0600600 0.5307000 47088.7170000
0.0600600 0.7581000 42949.6510000
0.0600600 0.8339000 99712.7590000
0.0602300 0.1512000 14053.4460000
0.0604000 0.3015000 67940.7430000
0.0604000 0.9045000 224115.2600000
0.0605700 0.6013000 76125.7720000
0.0607400 0.3748000 21700.8080000
0.0607900 0.9737000 46333.0770000
0.0608000 0.6739000 45049.8560000
0.0608500 0.5238000 29389.2790000
0.0609200 0.8222000 104075.4200000
0.0609700 0.2240000 9877.2308000
0.0610200 0.8954000 39395.3330000
0.0611700 0.5955000 36768.4200000
0.0612500 0.7433000 43796.8150000
0.0614200 0.8154000 99567.1260000
0.0614200 0.9636000 114808.3200000
0.0614800 0.4443000 12424.9850000
0.0615000 0.6664000 27881.7950000
0.0618400 0.8835000 34572.0510000
0.0618600 0.2945000 12345.0360000
0.0619300 0.7352000 41945.5330000
0.0620100 0.5140000 45181.3070000
0.0620900 0.9532000 53486.3940000
0.0622100 0.8050000 27964.5070000
0.0622600 0.3656000 34386.1990000
0.0623600 0.5841000 24900.4620000
0.0625100 0.6555000 38082.4720000
0.0625900 0.8729000 116347.3400000
0.0625900 0.9456000 147756.1300000
0.0626800 0.7264000 40086.7530000
0.0627100 0.0726500 5940.9846000
0.0627200 0.9872000 55339.4230000
0.0627900 0.0000000 9274.8487000
0.0629200 0.4342000 38395.2080000
0.0629400 0.1447000 5739.3436000
0.0632500 0.7918000 248556.2900000
0.0633500 0.5750000 61546.3460000
0.0633800 0.8621000 45193.3840000
0.0634300 0.2154000 6606.6096000
0.0634400 0.5024000 21750.6440000
0.0634800 0.9324000 38198.9740000
0.0635000 0.7887000 43274.4510000
0.0636600 0.6437000 39956.8970000
0.0637400 1.0000000 984112.8400000
0.0638200 0.8561000 69385.6410000
0.0638600 0.3565000 15215.1790000
0.0639600 0.7119000 72950.1790000
0.0639900 0.9962000 155081.9700000
0.0640300 0.2844000 13233.6920000
0.0640700 0.4264000 24087.2210000
0.0640700 0.9239000 80255.0200000
0.0642300 0.4962000 22979.7120000
0.0644500 0.7064000 33939.6690000
0.0644700 0.5650000 40620.0900000
0.0645200 0.6352000 31481.8950000
0.0647100 0.7740000 39372.0900000
0.0647100 0.8443000 160637.8000000
0.0647600 0.9139000 101210.7700000
0.0650300 0.1400000 34639.6920000
0.0650300 0.7001000 98061.1180000
0.0653000 0.9065000 76056.3360000
0.0653500 0.7664000 57728.5070000
0.0654400 0.6262000 40061.4040000
0.0655900 0.6942000 89950.4810000
0.0656200 0.3469000 11039.5670000
0.0656200 0.4163000 13403.1790000
0.0656200 0.8326000 29476.6670000
0.0657000 0.4851000 33742.3430000
0.0658400 0.5532000 22461.0740000
0.0659000 0.8982000 81563.1220000
0.0659800 0.9661000 120195.1700000
0.0660600 0.7582000 51275.8400000
0.0662900 0.8242000 90952.8660000
0.0663500 0.2059000 5918.4590000
0.0664500 0.6167000 42072.9580000
0.0665000 0.2739000 8938.5103000
0.0666000 0.5469000 33019.3330000
0.0666700 0.9561000 60530.7430000
0.0666800 0.6828000 59200.8810000
0.0668100 0.8859000 100009.6300000
0.0671000 0.8142000 66404.0460000
0.0671000 0.9771000 53571.2180000
0.0671200 0.4748000 29634.4560000
0.0672800 0.7444000 91748.2850000
0.0673400 0.4057000 12783.0870000
0.0675000 0.6745000 30301.9590000
0.0675800 0.6064000 74754.3080000
0.0676000 0.8756000 49472.8210000
0.0676500 0.0000000 11507.7280000
0.0676900 0.9417000 163822.1000000
0.0677200 0.1345000 5517.1737000
0.0678000 0.0671900 4435.8968000
0.0678900 0.3354000 11028.8920000
0.0680200 0.5355000 46780.0870000
0.0680600 0.7359000 26195.8870000
0.0680700 0.9365000 97935.8330000
0.0681900 0.8012000 89370.3170000
0.0683000 1.0000000 1407455.4000000
0.0683800 0.2664000 15470.2440000
0.0683900 0.6658000 38087.6660000
0.0684600 0.9843000 69732.0510000
0.0686000 0.4646000 28374.6760000
0.0686000 0.8628000 168086.0400000
0.0686500 0.9949000 115295.8300000
0.0686900 0.5966000 22648.3490000
0.0687500 0.7947000 36588.5480000
0.0689500 0.9245000 84808.0460000
0.0690500 0.7253000 69874.7670000
0.0692000 0.3290000 28865.9170000
0.0692000 0.8553000 82603.1990000
0.0692700 0.1972000 13021.2590000
0.0693500 0.6566000 40494.6400000
0.0694000 0.5249000 26389.5870000
0.0694100 0.3936000 16479.6900000
0.0695700 0.7853000 68859.5150000
0.0696500 0.4576000 35470.3590000
0.0696500 0.5883000 112654.9400000
0.0696500 0.7191000 166598.7700000
0.0696500 0.8498000 107107.3300000
0.0696500 0.9152000 80006.6440000
0.0700900 0.8444000 179091.6700000
0.0701700 0.7138000 102466.9500000
0.0702400 0.5834000 112135.5600000
0.0703900 0.9056000 103087.6300000
0.0704400 0.6464000 116174.0800000
0.0705300 0.3228000 44015.1050000
0.0706800 0.1933000 11721.1150000
0.0707300 0.7725000 92771.0350000
0.0708300 0.5143000 22273.3530000
0.0708300 0.9642000 129232.3100000
0.0708600 0.8353000 46488.5580000
0.0708900 0.3854000 17580.6660000
0.0709700 0.5774000 61531.9430000
0.0710400 0.2564000 9459.3840000
0.0712000 0.7034000 38357.5890000
0.0712700 0.9583000 195882.4000000
0.0713300 0.7660000 28733.1480000
0.0713800 0.8931000 74711.6690000
0.0714600 0.4460000 13129.3940000
0.0715000 0.6368000 16550.5480000
0.0717700 0.8881000 100433.5900000
0.0718500 0.5070000 49674.1740000
0.0719900 0.8222000 34022.6030000
0.0720800 0.6949000 45333.2920000
0.0721800 0.5677000 22512.2440000
0.0721900 0.9460000 37179.2310000
0.0722100 0.7567000 49213.4770000
0.0723400 0.3147000 10251.3070000
0.0724600 0.9739000 72146.0900000
0.0725600 0.8157000 56674.0000000
0.0726900 0.1253000 3388.4353000
0.0727100 0.0000000 5610.4590000
0.0727800 0.8759000 95972.3840000
0.0728500 0.0625200 4797.6821000
0.0728500 1.0000000 1473672.1000000
0.0729200 0.4371000 24812.4210000
0.0729400 0.6242000 42840.0710000
0.0730600 0.6855000 47951.2690000
0.0731800 0.9333000 143494.2600000
0.0732000 0.3732000 15096.3870000
0.0732000 0.8086000 67748.6560000
0.0733200 0.7452000 34312.8180000
0.0733300 0.9934000 126428.1400000
0.0735100 0.1859000 5524.1128000
0.0736000 0.4949000 14594.0710000
0.0736400 0.2473000 15694.6610000
0.0736600 0.8654000 34263.9940000
0.0738100 0.5552000 18834.9720000
0.0738400 0.9250000 51993.3950000
0.0738800 0.6162000 76284.7280000
0.0741500 0.9824000 78483.0130000
0.0743700 0.6735000 27159.8400000
0.0744800 0.7336000 37345.6610000
0.0745400 0.3665000 15385.8710000
0.0745400 0.9163000 124682.9300000
0.0745600 0.3053000 24220.0970000
0.0745700 0.7937000 27099.9360000
0.0746800 0.4268000 26701.4130000
0.0746800 0.4878000 25819.6870000
0.0747000 0.8533000 60378.4300000
0.0747500 0.6091000 27319.4850000
0.0748100 0.6694000 75895.9480000
0.0752300 0.6052000 107039.8100000
0.0753100 0.7255000 33557.7540000
0.0753700 0.0604100 25332.6560000
0.0753700 0.1812000 42351.7850000
0.0753700 0.4833000 28444.5580000
0.0753700 0.6645000 139211.2600000
0.0753700 0.7854000 112894.6600000
0.0754200 0.4226000 45053.7330000
0.0754200 0.9659000 80264.5540000
