# k    mu    diag_Cov_Pwnw
0.0692000 0.8553000 24276.2920000
0.0692700 0.1972000 10515.0710000
0.0693500 0.6566000 16228.8310000
0.0694000 0.5249000 14771.6610000
0.0694100 0.3936000 12613.0540000
0.0695700 0.7853000 21725.3620000
0.0696500 0.4576000 22074.4460000
0.0696500 0.5883000 46677.6920000
0.0696500 0.7191000 53580.4590000
0.0696500 0.8498000 30524.4620000
0.0696500 0.9152000 20769.6760000
0.0700900 0.8444000 60089.8460000
0.0701700 0.7138000 38944.3460000
0.0702400 0.5834000 58390.5920000
0.0703900 0.9056000 17608.3280000
0.0704400 0.6464000 40206.7430000
0.0705300 0.3228000 34465.9080000
0.0706800 0.1933000 11780.8300000
0.0707300 0.7725000 31859.6610000
0.0708300 0.5143000 12805.2510000
0.0708300 0.9642000 22240.6100000
0.0708600 0.8353000 11809.5360000
0.0708900 0.3854000 14052.7630000
0.0709700 0.5774000 26903.4350000
0.0710400 0.2564000 8645.8968000
0.0712000 0.7034000 11875.2720000
0.0712700 0.9583000 47337.4850000
0.0713300 0.7660000 10389.8360000
0.0713800 0.8931000 20598.4040000
0.0714600 0.4460000 8379.2506000
0.0715000 0.6368000 6614.0763000
0.0717700 0.8881000 28651.8050000
0.0718500 0.5070000 30736.8400000
0.0719900 0.8222000 10624.8660000
0.0720800 0.6949000 21807.0360000
0.0721800 0.5677000 9808.0865000
0.0721900 0.9460000 10819.9380000
0.0722100 0.7567000 28204.6400000
0.0723400 0.3147000 6905.6692000
0.0724600 0.9739000 17432.8400000
0.0725600 0.8157000 19049.5580000
0.0726900 0.1253000 3277.0250000
0.0727100 0.0000000 5531.7436000
0.0727800 0.8759000 16976.8180000
0.0728500 0.0625200 4844.0923000
0.0728500 1.0000000 240079.3300000
0.0729200 0.4371000 13480.1130000
0.0729400 0.6242000 19894.1440000
0.0730600 0.6855000 16327.6410000
0.0731800 0.9333000 24691.0360000
0.0732000 0.3732000 11165.3840000
0.0732000 0.8086000 27853.9330000
0.0733200 0.7452000 11451.1180000
0.0733300 0.9934000 26060.6950000
0.0735100 0.1859000 4321.5481000
0.0736000 0.4949000 9171.1564000
0.0736400 0.2473000 13033.8870000
0.0736600 0.8654000 12499.5900000
0.0738100 0.5552000 9568.9205000
0.0738400 0.9250000 15761.1770000
0.0738800 0.6162000 27700.7690000
0.0741500 0.9824000 22934.3360000
0.0743700 0.6735000 10196.6130000
0.0744800 0.7336000 14580.3280000
0.0745400 0.3665000 14044.3840000
0.0745400 0.9163000 25261.1690000
0.0745600 0.3053000 20434.2670000
0.0745700 0.7937000 8039.2179000
0.0746800 0.4268000 17472.2560000
0.0746800 0.4878000 17883.3070000
0.0747000 0.8533000 17967.4870000
0.0747500 0.6091000 9969.0096000
0.0748100 0.6694000 29304.5120000
0.0752300 0.6052000 42734.7180000
0.0753100 0.7255000 17211.5380000
0.0753700 0.0604100 30350.4900000
0.0753700 0.1812000 39934.9430000
0.0753700 0.4833000 17052.6150000
0.0753700 0.6645000 52064.6030000
0.0753700 0.7854000 37872.2560000
0.0754200 0.4226000 33203.0360000
0.0754200 0.9659000 22455.6690000
0.0754300 0.1207000 26212.2540000
0.0755000 0.3015000 39331.1770000
0.0755000 0.5427000 17894.6400000
0.0755200 0.2412000 12238.5030000
0.0755700 0.9037000 17478.1220000
0.0756900 0.8422000 26302.3940000
0.0757800 0.3605000 52783.9940000
0.0761900 0.8367000 12829.0710000
0.0762500 0.7165000 22655.6100000
0.0762500 0.8956000 14544.2150000
0.0763800 0.9538000 8204.9429000
0.0764000 0.6556000 16718.5840000
0.0764100 0.7746000 6842.5378000
0.0764300 0.5957000 10197.8460000
0.0765400 0.5354000 11793.4560000
0.0766700 0.4157000 9687.0250000
0.0768800 0.3553000 10031.4870000
0.0769300 0.8286000 22668.0410000
0.0769500 0.4733000 11449.2690000
0.0770000 0.9461000 23724.6050000
0.0772400 0.2358000 7763.6917000
0.0772900 0.2946000 5990.2250000
0.0773600 0.8828000 12603.7920000
0.0773700 0.7650000 17209.0130000
0.0774000 1.0000000 622155.9800000
0.0775800 0.0000000 5590.9481000
0.0775800 0.7042000 7432.9128000
0.0777100 0.6445000 8597.1256000
0.0777500 0.9370000 13755.5770000
0.0778000 0.1171000 3918.3487000
0.0778600 0.9942000 19563.4360000
0.0780200 0.5252000 12483.1740000
0.0780800 0.0583300 6065.7891000
0.0781000 0.1749000 4174.5744000
0.0781100 0.8743000 25383.4970000
0.0781700 0.4660000 11664.0280000
0.0781800 0.5824000 8247.2795000
0.0782300 0.8148000 9534.8487000
0.0784100 0.7549000 12260.9130000
0.0786000 0.9269000 13688.6660000
0.0786300 0.9844000 16377.7790000
0.0786600 0.8682000 30440.0490000
0.0787000 0.4050000 7117.9224000
0.0787300 0.6940000 16231.0740000
0.0788500 0.9734000 10067.0200000
0.0789300 0.3461000 5129.1788000
0.0789500 0.6344000 11709.1280000
0.0791700 0.2876000 17472.6350000
0.0791700 0.8052000 11651.3580000
0.0792100 0.5748000 11597.0510000
0.0794400 0.5158000 11874.8710000
0.0795800 0.7438000 22483.8920000
0.0796300 0.2287000 8569.4974000
0.0796500 0.6288000 21613.7330000
0.0796500 0.6860000 17153.8950000
0.0796500 0.8575000 13201.7790000
0.0797000 0.4570000 15959.9870000
0.0797100 0.9139000 10286.8710000
0.0799100 0.5698000 54226.2150000
0.0800400 0.9671000 40774.1640000
0.0801600 0.3408000 60110.0460000
0.0801600 0.5112000 26403.2400000
0.0801600 0.8519000 13574.2460000
0.0803400 0.7935000 10190.7430000
0.0804600 0.4527000 15415.0150000
0.0806200 0.3953000 5819.3308000
0.0806800 0.6208000 27785.4970000
0.0806800 0.9029000 31978.4000000
0.0807200 0.6768000 6363.2923000
0.0807400 0.8458000 22877.0870000
0.0807800 0.7327000 6579.4128000
0.0808100 0.5635000 14063.7210000
0.0808600 0.2815000 7160.3686000
0.0808600 0.9572000 8320.9128000
0.0810300 0.5057000 11104.0100000
0.0813400 0.6157000 8648.7891000
0.0813900 0.7832000 11965.7720000
0.0814100 0.2237000 6215.0353000
0.0814100 0.8948000 9350.2026000
0.0814300 0.1118000 2735.0506000
0.0817000 0.7245000 9788.4865000
0.0819000 0.3336000 2141.3615000
0.0819500 0.9445000 7509.4865000
0.0819500 1.0000000 155675.1400000
0.0819900 0.8330000 6582.2558000
0.0820100 0.5552000 4463.2045000
0.0820700 0.4438000 5511.5359000
0.0821600 0.7759000 12550.6400000
0.0821800 0.6648000 8032.3071000
0.0823800 0.9948000 15643.4040000
0.0824200 0.8839000 6226.4455000
0.0825200 0.6069000 8307.7846000
0.0825500 0.0000000 5778.5923000
0.0826100 0.4960000 7276.2763000
0.0826800 0.0550800 2862.1532000
0.0827600 0.1651000 3186.2436000
0.0828300 0.7146000 14097.9940000
0.0828300 0.9344000 5030.2051000
0.0828800 0.8241000 8100.2462000
0.0829200 0.2746000 3761.9686000
0.0830200 0.7678000 15558.6440000
0.0830200 0.9140000 9815.6821000
0.0831100 0.3835000 3933.5667000
0.0832700 0.9842000 8200.9513000
0.0834300 0.5458000 5380.4513000
0.0835800 0.8716000 9446.9231000
0.0837000 0.3264000 8396.4000000
0.0837100 0.6527000 7364.0199000
0.0837800 0.4348000 6741.7949000
0.0838700 0.7057000 7843.5154000
0.0838800 0.2171000 4908.0795000
0.0838900 0.9226000 6411.1051000
0.0839700 0.1084000 5459.9994000
0.0839900 0.8131000 8936.7564000
0.0842000 0.9733000 7066.6147000
0.0842400 0.4864000 5145.3942000
0.0842400 0.7566000 3997.4558000
0.0843500 0.8636000 8119.1532000
0.0843800 0.5936000 5020.5026000
0.0844100 0.3776000 8978.3583000
0.0844100 0.6473000 6133.3276000
0.0845100 0.5388000 13666.5480000
0.0845700 0.2692000 33440.1480000
0.0847700 0.8056000 16919.8920000
0.0848100 0.6979000 44872.1540000
0.0850600 0.1606000 23489.3950000
0.0850600 0.6423000 10227.5630000
0.0851200 0.3209000 19035.7690000
0.0851800 0.4811000 28079.9460000
0.0851800 0.5345000 10129.2810000
0.0851800 0.8018000 15008.1020000
0.0853900 0.6932000 6317.5769000
0.0855000 0.7455000 7056.6769000
0.0855100 0.9052000 5624.0968000
0.0855400 0.5855000 4441.7173000
0.0855800 0.8512000 15985.6100000
0.0857100 0.3719000 12570.3490000
0.0857400 0.7966000 8763.8968000
0.0857800 0.2123000 4296.1891000
0.0858600 0.9545000 9351.1051000
0.0859100 0.4240000 3481.5327000
0.0859900 0.6354000 8442.9000000
0.0860300 0.4763000 7939.0455000
0.0860500 0.2646000 4765.4045000
0.0862000 0.8451000 5844.5410000
0.0864700 0.8951000 6228.7378000
