# k    mu    diag_Cov_Pwnw
0.0471000 0.6767000 331310.1400000
0.0471200 0.0000000 24631.4770000
0.0473200 0.9623000 1201991.9000000
0.0474600 0.0960100 25333.5220000
0.0475400 0.7663000 379016.5100000
0.0475800 0.5742000 173709.3000000
0.0476800 0.9549000 420479.7400000
0.0477500 0.4767000 117084.8600000
0.0477500 0.6674000 393415.7900000
0.0477500 0.8581000 423027.6300000
0.0478400 0.2855000 71900.1410000
0.0484000 0.7526000 780379.9400000
0.0484000 0.8466000 1542030.9000000
0.0484000 0.9407000 508856.9100000
0.0485700 0.6562000 124946.0900000
0.0487200 0.4673000 127237.6900000
0.0487500 0.3736000 94316.7590000
0.0487800 0.7467000 196117.6900000
0.0489700 0.8369000 215867.6900000
0.0491400 0.2780000 129153.1100000
0.0491700 0.1852000 76633.5840000
0.0492500 0.5547000 163939.7900000
0.0492500 0.6472000 265279.6400000
0.0492500 0.7396000 329162.0900000
0.0492500 0.9245000 349854.8100000
0.0494600 0.8285000 376336.1500000
0.0495600 0.3675000 91236.5220000
0.0498800 0.9129000 561123.0100000
0.0500800 0.1818000 244861.6700000
0.0500800 0.5455000 87701.6100000
0.0501900 0.8165000 285655.3800000
0.0502900 0.2716000 243891.0800000
0.0502900 0.3621000 277888.2100000
0.0502900 0.7243000 388098.8800000
0.0503300 0.6332000 149588.7200000
0.0503600 0.4521000 173560.8500000
0.0504300 0.0902900 97319.6380000
0.0509000 0.7155000 311106.4900000
0.0509000 0.9839000 1026484.2000000
0.0509900 0.8930000 210895.1300000
0.0510100 0.5356000 126141.1700000
0.0511100 0.8018000 440442.8400000
0.0511100 0.9800000 409671.5400000
0.0511900 0.4447000 90894.2030000
0.0513100 0.3550000 138344.0500000
0.0514500 0.2655000 69228.2460000
0.0516700 0.7049000 200748.6500000
0.0517100 0.8805000 304104.3600000
0.0518700 0.9948000 282132.3100000
0.0519100 0.6140000 116488.5100000
0.0519300 0.1754000 56932.4720000
0.0519600 0.9639000 262250.2600000
0.0522100 0.7849000 89881.2660000
0.0523100 0.6963000 263653.3800000
0.0523100 0.8704000 804825.1800000
0.0523600 0.0870000 24944.8810000
0.0523600 1.0000000 1287832.2000000
0.0523900 0.0000000 16369.9170000
0.0524100 0.4344000 125193.6400000
0.0525100 0.5203000 319546.3000000
0.0527100 0.6047000 169674.9800000
0.0527100 0.7775000 490100.3100000
0.0527100 0.8639000 311718.1900000
0.0527100 0.9503000 510606.1500000
0.0528400 0.3447000 51476.1220000
0.0531000 0.5145000 106892.2500000
0.0532000 0.2568000 41546.8400000
0.0532300 0.8554000 201179.4200000
0.0533300 0.6830000 102966.9200000
0.0534900 0.9364000 167387.1200000
0.0535800 0.5948000 135442.4500000
0.0536800 0.7634000 290555.0700000
0.0537800 0.4234000 178497.7300000
0.0539700 0.1687000 145546.3000000
0.0539700 0.8437000 201612.7600000
0.0540600 0.5053000 104610.9600000
0.0540600 0.9264000 398430.3100000
0.0541800 0.3362000 75990.1130000
0.0542600 0.4196000 304028.9000000
0.0542600 0.7553000 291679.3300000
0.0547000 0.6659000 160779.1800000
0.0548300 0.2491000 209616.7400000
0.0548300 0.4983000 201297.0200000
0.0548300 0.7474000 752711.3800000
0.0548300 0.8305000 284153.9200000
0.0550100 0.3310000 105219.0600000
0.0550100 0.6621000 290282.1400000
0.0550100 0.7448000 169783.3400000
0.0551400 0.4129000 154049.0800000
0.0552000 0.9073000 484903.5300000
0.0554400 0.5749000 55172.9130000
0.0555100 0.0820300 33379.2560000
0.0555800 0.4915000 221043.1700000
0.0555800 0.6554000 139010.0500000
0.0555800 0.7373000 281931.7700000
0.0557600 0.8981000 275488.2100000
0.0558300 0.1631000 42619.3440000
0.0558600 0.8152000 113332.3100000
0.0561900 0.2431000 35123.6400000
0.0562300 0.3239000 75248.9000000
0.0562300 0.4049000 57865.3020000
0.0562300 0.4859000 69426.5740000
0.0562300 0.9717000 250109.2200000
0.0563200 0.8085000 272836.3300000
0.0564100 0.6457000 168626.2200000
0.0565000 0.5641000 149270.5800000
